regionType,catalogNumber,recordedBy,recordNumber,verbatimEventDate,verbatimScientificName,verbatimInstitution,datasetName,verbatimLocality,country,stateProvince,county,verbatimLatitude,verbatimLongitude,eventDate,scientificName,decimalLatitude,decimalLongitude,fieldNotes,sex,identifiedBy,verbatimDateIdentified,dateIdentified
curatorial,,,,,,The New York Botanical Garden,,,,,,,,,,,,,,,,
barcode,198993,,,,,NEW YORK BOTANICAL GARDEN,,,,,,,,,,,,,,,,
determination,,,,,Nothopanax tricochleatum Miq.,,,,,,,,,,Nothopanax tricochleatum Miq.,,,,,A. C. Smith,1936,1936
primary,,J.G. Jack,8179,12-Mar-31,Polyscias obtusa Harms,ARNOLD ARBORETUM,PLANTS FROM HARVARD TROPICAL GARDEN,"SOLEDAD, CIENFUEGOS, PROVINCE OF SANTA CLARA, CUBA",CUBA,PROVINCE OF SANTA CLARA,,,,3/12/31,Polyscias obtusa Harms,,,Many stems 2-4 ft. high.,,,,
